id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,passage
111,0,0,0,0,1,0,0,0,0,"Joe Biden is not W.E.B. Du Bois, let alone Malcolm X. But the party he leads now faces chronic racist disenfranchisement. The more the Democratic Party becomes a vehicle for Black political empowerment, the less its votes count."
105,0,1,0,1,1,0,0,0,0,"During the Civil War, slaves freed themselves by walking to Union lines. What was a trickle in 1861 became a flood by 1864, as thousands of self-emancipated slaves followed Union soldiers. What the pioneering civil rights activist W.E.B. Du Bois called the “general strike” of slaves changed the outcome of the war, forcing a reluctant Lincoln administration to move toward the Emancipation Proclamation and then the 13th Amendment, all while slowing the Confederate war effort by undermining the labor force and thus the economy. Slaves could not have won the war by themselves, but their actions were crucial in deciding the war and creating its moral impact."
68,1,1,0,1,1,1,1,1,0,"Professor Kilson encountered Du Bois, the pioneering urban sociologist who was a founder of the N.A.A.C.P., as a freshman at Lincoln University, a historically black college in Oxford, Pa. Du Bois had come to the campus to encourage its students to become part of the educated, community-based black leadership he called “The Talented Tenth,” calling on them to help improve the lives of needy black people. Du Bois remained an influence throughout Professor Kilson’s career. In his book “Transformation of the African-American Intelligentsia, 1880-2012” (2014), he wrote that “it is a moral imperative for today’s variant of Du Bois’s ‘Talented Tenth’ to mobilize its new socioeconomic and political resources to help ameliorate some of the social crises that now plague about 40 percent of African-American families.”"
40,0,0,0,0,0,0,0,0,0,"The New York Times, The Wall Street Journal, The Chicago Tribune and The Oregonian in Portland each received two awards. The author David Levering Lewis was among the winners in the arts for ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963.'' B8"
54,0,0,0,0,0,0,0,0,1,"Fortunately, many of the es says are free of racism and Communist dogmatism. There are five brief, but excellent es says by Zora Neale Hurston on black speech, religion and mu sic, an analysis of the still neglected black poet Sterling Brown (one of the editors of “The Negro Caravan”) by Alain Locke, W. E. B. Du Bois on “Black America” and George Padmore on Africa."
83,0,0,0,0,1,0,0,0,0,"Mr. Clayton recalled his mother's longing -- and inability -- to find a home for her collection, where it could be used by everyone from esteemed scholars to black teenagers who have yet to hear of W. E. B. Du Bois. ""Culture is the measure of a civilization,"" said Mr. Clayton, who left his job as an art teacher to shepherd his mother's collection. ""Without evidence of a culture, there is no proof that a people exists."""
97,0,0,0,0,1,0,0,0,0,"Outside the church, attempts to organize national self-help groups had checkered histories. Booker T. Washington's National Negro Business League, formed to aid small black businesses, met resistance from both whites and black leaders like W. E. B. Du Bois, who objected to Washington's acceptance of racial segregation."
96,0,1,0,0,1,1,0,0,0,"In the mid-1920s, W. E. B. Du Bois began a letter-writing campaign, demanding that book publishers, newspaper editors and magazines capitalize the N in Negro when referring to Black people. Even though Du Bois himself didn’t use the word Negro consistently — one of his most famous works, after all, is “The Souls of Black Folk” — it was the official name for the race, and as such, Du Bois wanted that word to confer respect on the page as well as in daily life.  In 1926, The New York Times denied his request, as did most other newspapers. In 1929, when the editor for the Encyclopaedia Britannica informed Du Bois that Negro would be lowercased in the article he had submitted for publication, Du Bois quickly wrote a heated retort that called “the use of a small letter for the name of twelve million Americans and two hundred million human beings a personal insult.” The editor changed his mind and conceded to the capital N, as did many other mainstream publications including The Atlantic Monthly and, eventually, The New York Times."
82,0,1,0,0,0,0,1,0,0,"Plates and shoelaces from the backyard of the home of the civil rights pioneer W. E. B. Du Bois may yield clues to the lives of blacks in the Berkshires before the Civil War, an archeologist says. The archeologist, Robert Paynter, a professor at the University of Massachusetts at Amherst, said he was sifting through the property for hints of the daily existence of people who may have lived there 150 years before Du Bois's death in 1963. Du Bois was a founder of the National Association for the Advancement of Colored People and a leader in the Pan-African movement. Although he described his upbringing in his autobiography, little is known about his ancestors and other black families who lived in the Berkshire Hills after the Revolutionary War."
55,1,0,0,1,1,0,0,0,0,"This — the extent to which democracy in the South threatened to undermine the imperatives of capital — was simply too much for Northern industry to bear. And so it turned against abolition-democracy, already faltering as it was in the face of Southern reaction. “Brute force was allowed to use its unchecked power,” Du Bois writes, “to destroy the possibility of democracy in the South, and thereby make the transition from democracy to plutocracy all the easier and more inevitable.”"
41,1,0,0,1,1,0,0,0,0,"The ""talented tenth,"" a concept celebrated by W. E. B. Du Bois, have prospered as a result of affirmative action. Colin Powell, Jesse Jackson, Gov. Douglas Wilder and most of those testifying at the Senate hearings before the appointment of Associate Justice Clarence Thomas all demonstrate the effectiveness of affirmative action programs for superior African-Americans."
69,0,0,0,0,0,0,0,0,1,"Jack Kerouac’s former Ozone Park home will be part of a historic spring trolley tour through
                                        Queens that also includes the wedding site of W. E. B. Du Bois, Jackie Robinson’s home and Malcolm X’s home. [Daily News]"
104,0,0,0,0,0,0,0,0,0,“The Love Songs of W.E.B. Du Bois” by Honorée Fanonne Jeffers
110,1,0,0,0,0,0,0,0,0,"Martin Kilson, a leftist scholar, fierce debater and follower of W. E. B. Du Bois who became the first tenured African-American professor at Harvard, died on April 24 in hospice care in Lincoln, Mass. He was 88."
114,1,1,0,1,1,0,0,0,0,"Du Bois’s entry is at once a typical biography — it goes into some detail about Brown’s childhood, his upbringing and his moral development, including a depiction of the scene that made Brown, at a young age, an ardent opponent of slavery — and an exercise in social analysis. Du Bois sums up Brown’s views in his conclusion. “John Brown loved his neighbor as himself,” writes Du Bois. “He could not endure therefore to see his neighbor poor, unfortunate or oppressed.” Brown’s sympathy with the least advantaged was strengthened by his Christianity and influenced by the “social doctrines of the French Revolution with its emphasis on freedom and power in political life.” Added to all of this, Du Bois writes, was Brown’s own “inchoate but growing belief in a more just and a more equal distribution of property.” From this, Brown concluded that “all men are created free and equal.” It is this point that Du Bois wields against the eugenicists and white supremacists of his time, the intellectual descendants of slaveholders who dominated the mainstream of American letters with arguments about the natural inferiority of nonwhites. “Has John Brown no message — no legacy, then, to the twentieth century?” asks Du Bois. “He has and it is this great word: the cost of liberty is less than the price of repression. The price of repressing the world’s darker races is shown in a moral retrogression and an economic waste unparalleled since the age of the African-slave trade.” (I quoted a version of this line in my column on Tuesday.) Viewed in this light, Du Bois says, the memory of John Brown stands as a “mighty warning” to the United States and its peers. To wait to rectify the sins of the present — to sidestep justice in favor of comfort — is to make the final price of liberty all the more expensive. John Brown “knew that in 1700 it would have cost something to overthrow slavery and establish liberty; and that by reason of cowardice and blindness the cost in 1800 was vastly larger but still not unpayable,” Du Bois writes. “He felt that by 1900 no human hand could pluck the vampire from the body of the land without doing the nation to death.” What Brown decided, Du Bois continues, was that he had to strike a blow for justice in his time. “It will cost something — even blood and suffering — but it will not cost as much as waiting.” Du Bois was very much a man of his time — Victorian, bourgeois and more than a little elitist. You can see these aspects of Du Bois in his Brown biography, and for a modern reader, they may be a little jarring. And yet, Du Bois’s broadside against hierarchy and exclusion still lands with as much force in 2022 as I’m sure it did in 1909. His warning that the tolerance of injustice will only lead to darker places and “darker deeds” is still relevant. And his closing reminder that without real “equality of opportunity” the best in humanity cannot be “discovered and conserved” remains as true now as it was then."
100,1,0,0,1,1,0,1,0,0,"The scholarship on Reconstruction is vast and comprehensive. But my touchstone for thinking about the period continues to be W.E.B. Du Bois’s “Black Reconstruction,” published in 1935 after years of painstaking research that was often inhibited by segregation and the racism of Southern institutions of higher education. I return to Du Bois, even as I read more recent work, because he offers a framework that is useful, I think, for analyzing the struggle for democracy in our own time. The central conceit of Du Bois’s landmark study — whose full title is “Black Reconstruction: An Essay Toward a History of the Part Which Black Folk Played in the Attempt to Reconstruct Democracy in America, 1860-1880” — is that the period was a grand struggle between “two theories of the future of America,” rooted in the relationship of American labor to American democracy. “What were to be the limits of democratic control in the United States?” Du Bois asks. “Was the rule of the mass of Americans to be unlimited, and the right to rule extended to all men regardless of race and color?” And if not, he continues, “How would property and privilege be protected?”"
9,0,1,0,0,1,1,1,0,0,"Now it turns out that for the last eight years, another major book was in the works: ""W. E. B. Du Bois: Biography of a Race, 1868-1919"" (Henry Holt & Company, New York, $35), a 735-page tome, described by Dr. Lewis in his preface as a project that ""often rendered me unaware of the routine of daily life."" Du Bois died in 1963 at the age of 95, and the research involved travel over three continents, inquiry into 28 archives and 99 library collections and interviews with more than 150 people. ""And alas,"" Dr. Lewis said recently, ""all this for what it turns out is only volume one."" But ""Du Bois"" -- a candidate for the National Book Award in nonfiction -- is a powerfully thorough book that because its subject was such a extraordinary leader, so central to the political controversies around him, it compels a reappraisal of the post-Civil War era. Du Bois is perhaps best known in the civil rights movement for his insistence on full equality for his fellow blacks, as opposed to the accommodative policies of Booker T. Washington. But Dr. Lewis's book reveals much more about Du Bois as political strategist. In 1911, for example, when Woodrow Wilson, then Governor of New Jersey, prepared to enter the Presidential race, he asked Du Bois to influence blacks to depart from their traditional Republican stance and vote Democratic. After Wilson won with a larger-than-expected vote and segregationist politics continued, Du Bois retaliated with searing anti-Wilson editorials in The Crisis, the magazine of the National Association for the Advancement of Colored People."
45,0,0,0,0,0,0,0,0,0,"Mr. Lewis, who met Du Bois as a child, told one interviewer that he had sought to present ''a conflicted figure whose attempt to achieve his ideals caused him to contradict many of them.''"
51,1,0,0,1,0,0,0,0,0,"In “The Souls of Black Folk,” W. E. B. Du Bois described this phenomenon thusly:"
79,0,0,0,0,0,0,0,0,0,"CROTON-ON-HUDSON “W. E. B. Du Bois, A Man for all Time,” drama by Alexa Kelly. Feb. 28 at 2 p.m. Free. Croton Free Library, 171 Cleveland Drive. crotonfreelibrary.org; 914-271-6612."
86,0,0,0,0,0,0,0,0,0,"Another Harlem landmark in the history of gay New York is the Salem United Methodist Church. Now 97 years old, the brick building with a magnificent arched front window still stands at Adam Clayton Powell Jr. Boulevard and 129th Street. It was there, in 1928, that the poet Countee Cullen entered into a brief marriage with Yolanda Du Bois, daughter of W. E. B. Du Bois. (Cullen then went on a honeymoon with the best man.) Cullen, like several members of the Harlem Renaissance, felt compelled to hide his sexual identity."
92,1,0,0,0,0,0,0,0,0,"But Guralnick is out to destroy gods and undo celebrity, or, as he puts it, to ""rescue"" Elvis from ""both his detractors and admirers."" Sometimes, the pages, the research, the interviews and especially the objectivity are necessary to make a subject human again. This can be true because the subject is an icon like Elvis or because the life truly was monumental -- here I'm thinking of David Levering Lewis on W. E. B. Du Bois (two volumes and 1,360 pages)."
93,0,0,0,0,1,0,0,0,1,"In a dissent that cited W. E. B. Du Bois, James Baldwin and Ta-Nehisi Coates, Justice Sotomayor said the court had vastly expanded police power."
87,0,0,0,0,0,0,1,0,0,"David Levering Lewis, the Pulitzer Prize-winning biographer of W. E. B. Du Bois and an eminent black historian who considers President Bush's policies on Iraq ''a menace,'' was flabbergasted when he received an invitation from Laura Bush's office to be the keynote speaker at a White House symposium on the writers of the Harlem Renaissance."
78,0,1,0,0,1,0,1,0,0,"Influenced by men like Marcus Garvey and W. E. B. Du Bois, Dr. Brisbane in turn became a counselor to a younger generation of civil rights campaigners in the South. He was well known beyond the Atlanta campus of Morehouse as the author of a textbook, ''The Black Vanguard: Origins of the Negro Social Revolution, 1900-1960'' (Judson, 1970), and a later book, ''Black Activism: Racial Revolution in the United States, 1954-1970'' (Judson, 1974)."
50,0,0,0,0,0,0,0,0,0,"SCHOMBURG CENTER FOR RESEARCH IN BLACK CULTURE, 515 Lenox Avenue, at 135th Street, Manhattan. The center's holdings include audio tapes of W. E. B. Du Bois and Booker T. Washington; the original manuscript of Richard Wright's novel ""Native Son,"" and thousands of other documents, paintings and photographs. The main exhibition now is ""The African Presence in the Americas: 500 Years of Tradition and Transformation,"" with maps, photographs, lithographs and memorabilia. Also on view is ""African-Americans in Space Science,"" an exploration of black involvement in science and technology. (Both shows run through Dec. 31.) Other events include a screening of ""To Sleep With Anger,"" a film with Danny Glover, Sheryl Lee Ralph, Mary Alice and Vonetta McGee, to be followed by a discussion with Charles Burnett, the film's director (today at 3 P.M.), and a holiday open house featuring the Forces of Nature dancers and the Abyssinian Baptist Church Choir (Dec. 22 at 3 P.M.). Hours: Mondays and Tuesdays from noon to 8 P.M.; Wednesdays and Fridays from noon to 6 P.M.; Saturdays from 10 A.M. to 6 P.M., closed Sundays, Thursdays and holidays. Free. Information: (212) 491-2200."
44,1,0,0,0,1,0,1,0,0,"''But she's got relatives and friends broke as the 10 Commandments,'' he said. ''Just focusing on Oprah won't show us how the race problem can be solved. It's more complex than that. Du Bois said begin with art, because art tries to take us outside of ourselves. It's a matter of trying to create an atmosphere and a context so conversation can flow back and forth, and we can be influenced by each other.''"
101,1,0,0,0,0,0,0,0,1,"The publication of the papers of Frederick Douglass and W. E. B. Du Bois (to mention only the most obvious) will. probably add little to the stature of these men. Douglass, despite his decline in later years, sits astride black history in the 19th century like a colossus. The Du Bois papers will deepen and flesh out the outlines of the life of a man already acknowledged by most people as one of the great minds of the 20th century. In the final analysis, Booker T. Washington may have scored another point. These first volumes of the Washington papers, and the trend in recent scholarship reveal Booker T. Washington to have been a man of remarkable skill in dealing with white America. A man whose life may offer more to blacks during this period of growing white indifference to black aspirations, and growing repression of attempts to move to meet their needs, than those of the leading purveyors of rhetoric who pass for black leaders in our day."
115,1,0,0,0,0,0,0,0,0,"W. E. B. Du Bois once made a brilliant commentary on the debate over names in a reply to a letter from a 15-year-old who objected to ''Negro'' because it was ''a white man's word to make us feel inferior.'' Du Bois wrote urging the youth not to mistake ''names for things,'' nor to put undue emphasis on what something is called. The letter is a masterpiece:"
103,1,1,0,0,1,1,0,0,1,"During a career of scholarship, teaching and advocacy that spanned more than 70 years, Dr. Franklin was deeply involved in the painful debates that helped reshape America’s racial identity, working with the Rev. Dr. Martin Luther King Jr., W. E. B. Du Bois, Thurgood Marshall and other major civil rights figures of the 20th century."
117,0,1,0,0,1,0,0,1,1,"''We could not have made an acquaintance through literature with human giants such as George Washington, Abraham Lincoln and Thomas Jefferson and not been moved to act,'' Mr. Mandela said. ''We could not have heard of and admired John Brown, Sojourner Truth, Frederick Douglass, W. E. B. Du Bois, Marcus Garvey, Martin Luther King Jr. and others . . . and not be moved to act as they were moved to act."
52,0,0,0,0,1,0,0,0,1,"The series was inspired by the recent restoration of the council’s 1929 “Freedom Mural,” which depicts Kensico Lakes and two female figures representing freedom and liberty. Ms. Dee’s subject, “Overcoming Injustice and Oppression,” reflects her lifelong involvement in civil rights and social justice issues. Speaking by phone from New Rochelle shortly before leaving for the SAG ceremony, she said she would choose among texts by Walt Whitman, Thomas Paine, W. E. B. Du Bois, Paul Robeson, Langston Hughes, the historian Lerone Bennett and Zora Neale Thurston."
46,0,0,0,0,0,0,0,0,0,"BIOGRAPHY: ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963,'' by David Levering Lewis."
91,1,0,0,1,1,0,1,0,0,"Attired in a blue suit, one hand clutching a piece of chalk, the other a well-worn copy of W. E. B. Du Bois's ''The Souls of Black Folk,'' he paced back and forth, arms out, leaning forward, bending back, voice rising and falling, one foot in the academy, the other in the pulpit. ''Will we be able to talk about race in such a way we can get beyond the finger-pointing and name calling and actually be self-critical and critical of each other so we can be empowered and enabled instead of paralyzed and debilitated?'' he said. ''It's so easy to talk about race in America, Du Bois would say, in a way in which we're paralyzed, and debilitated or just completely depressed.''"
85,0,0,0,0,0,0,0,0,0,"Mr. Lewis was born in Little Rock, Ark., into an intellectual atmosphere (his father was a Yale graduate, his mother a teacher) and grew up in Wilberforce and Atlanta, where he attended high school and graduated after only one year. He enrolled at Fisk University in Nashville, Mr. Du Bois' alma mater."
84,0,0,0,0,0,0,0,0,0,"I am not siding with the revolution here. Though not required in college to read the works of W. E. B. Du Bois and Carrie Chapman Catt, I am confident I could have found them just as conducive to deep coma as Aristotle was."
90,0,0,1,0,0,0,1,0,0,"Still, Chester Davis, associate chairman of the W. E. B. Du Bois Department of Afro American Studies at the University of Massachusetts, said black studies should not be considered a discipline in the traditional sense."
47,0,0,0,0,1,0,0,0,0,"This was in 1928. One can imagine a youth writing a letter today identical to the one written to Du Bois, and one can imagine Du Bois, were he alive, writing the same reply. The problems confronting Negroes are formidable, and they will not be solved by altering a name, or by dressing differently, or by wearing one's hair in a new way. We should not be fooled by names or appearances. The real problems lie beneath the surface."
53,1,0,0,1,1,0,0,0,1,"But in the same way that the idea of eliminating references to “English” strikes most as overboard, the idea that for Black people standard English is something wholly apart is simply inaccurate. For most Black Americans, both Black and standard English are part of who we are; our English is, in this sense, larger than many white people’s. In “The Souls of Black Folk,” W.E.B. Du Bois wrote, “I sit with Shakespeare and he winces not … I summon Aristotle and Aurelius and what soul I will, and they come all graciously with no scorn nor condescension.” On a less exalted level, a great many Black people toggle endlessly between standard and Black English, day in and day out — we code-switch. I always liked how Gloria Naylor was able to get this across, as in this scene from her novel “Mama Day”:"
116,1,1,0,1,1,0,0,0,0,"Vernon Jordan, a former adviser to President Clinton, suggested in a telephone interview that Mr. West — perhaps beginning with the classical education imparted by his parents — seemed destined to join the one in 10 black men whom W. E. B. Du Bois predicted at the dawn of the 20th century would become African-American leaders. “He went to school and to law school inspired to serve the best interests of the community because he was one who understood Du Bois’s mandate to the ‘Talented Tenth,’ ” Mr. Jordan said. “Du Bois would be pleased with his legacy.”"
102,1,0,0,0,0,0,0,0,1,"The historians include three Pulitzer Prize winners: Taylor Branch, author of ""Parting the Waters,"" a biography of the Rev. Dr. Martin Luther King Jr.; David Garrow, author of ""Bearing the Cross,"" another biography of Dr. King, and David L. Lewis, author of a recent biography of W. E. B. Du Bois."
34,0,0,0,0,0,0,0,0,1,"This claim is itself open to argument, which is why I included it in the article. But it does no service to the cause of multicultural literature to stretch it beyond recognition as Mr. Gates has mistakenly done. I cannot imagine in a world filled with the works of W. E. B. Du Bois, James Baldwin, Richard Wright, Toni Morrison and even Henry Louis Gates that Mr. Adler would not consider the statement attributed to him to be preposterous. ERIC ALTERMAN Washington, May 26, 1991"
20,0,0,0,0,0,0,1,0,0,"An award of $375,000 went to David Levering Lewis, the Rutgers professor who won a Pulitzer Prize in 1994 for the first volume of a biography, ''W. E. B. Du Bois: Biography of a Race.''"
21,0,0,1,0,0,0,1,0,0,"Mr. Morgan, a 27-year-old anthropology student at Harvard, has accused Dr. Jeffries of threatening him during an Oct. 18 interview at City College. He said Dr. Jeffries made derogatory comments about several people, including Henry Louis Gates Jr., the director of the W. E. B. Du Bois Institute for African-American Research at Harvard, and then warned him not to publish his remarks."
35,0,1,0,0,1,0,0,0,1,"Part of the reason for our reluctance to engage in such public criticism is historical. For generations, whites have called on black leaders to denounce other blacks' offensive or radical ideas. Many leaders have actually been denounced as a result of such pleas, leading to crippling battles among black political leaders. Betrayals and self-defeating efforts to exclude rival leaders have undermined hard-fought efforts to gain and hold political power all across the country. While few of us may know the history of the battles between Marcus Garvey and W. E. B. Du Bois, many still remember the repeated calls for ""responsible"" black leaders to denounce the unlawful tactics and ""radical"" goals of the Rev. Dr. Martin Luther King Jr."
23,0,0,0,0,0,0,1,0,0,"Dr. Lewis began the Du Bois project in 1985. He traveled thousands of miles - sometimes with Ms. Stewart -- across America, the former Soviet Union, West Africa and Mexico and interviewed 200 people."
37,0,0,0,0,0,0,0,0,1,"As they gazed up the hill from ''the valley,'' as central Harlem was sometimes called, Harlemites saw a shimmering bluff that would, from 1929 until midcentury, become a hub of elite black society. The names of those who lived there read like a Who's Who of black history: Ralph Ellison, Thurgood Marshall, Joe Louis, W. E. B. Du Bois, James Baldwin, Adam Clayton Powell Sr., Zora Neale Hurston, Duke Ellington and Paul Robeson, to name a few."
36,1,0,1,0,0,0,1,0,0,"NEW JERSEY Elihu Abrahams, Bernard Serin Professor of Physics, Rutgers University: theoretical studies in condensed matter physics. David Bromwich, associate professor of English, Princeton University: modernism and modernity in English poetry. Petra ten-Doesschate Chu, professor of art history, Seton Hall University: a critical edition of the letters of Gustave Courbet. Joan DeJean, professor of Romance languages and literatures, Princeton: 17th-century French women writers and the development of the modern novel. Alban K. Forcione, Walter S. Carpenter Jr. Professor of the Language, Literature, and Civilization of Spain and professor of comparative literature and Romance languages and literatures, Princeton: perspectives on the literature of the European baroque. David Levering Lewis, Martin Luther King Jr. Professor of History, Rutgers: the life and times of W. E. B. Du Bois. George A. Miller, James S. McDonnell Distinguished University Professor of Psychology, Princeton: the organization of lexical memory. Sylvia Molloy, Emory L. Ford Professor of Spanish and professor of Romance languages and literatures, Princeton: Spanish-American autobiographical writing of the 19th and 20th centuries. Suzanne Nash, professor of Romance languages and literatures, Princeton: the representation of Germany in French travel literature, 1800-1848. David L. Quint, associate professor of comparative literature, Princeton: epic poetry and the political ideology of imperialism. Theodore Weiss, poet, William and Anne S. Paton"
22,0,0,0,1,1,0,0,0,0,"The luridness of street lit has made it a flashpoint, inciting controversy reminiscent of the hip-hop culture wars of the 1980s and ’90s. But the street-lit debate touches deeper historical roots, reviving decades-old
                                arguments in black literary circles about the mandate to uplift the race and present wholesome images of African-Americans. In 1928, W. E. B. Du Bois slammed the “licentiousness” of “
                                Home to Harlem,” Claude McKay’s rollicking novel of Harlem nightlife. McKay’s book, Du Bois wrote, “for the most part nauseates
                                me, and after the dirtier parts of its filth I feel distinctly like taking a bath.” Similar sentiments have greeted 21st-century street lit. In a 2006 New York Times Op-Ed essay, the journalist and author Nick Chiles
                                decried “the sexualization and degradation of black fiction.” African-American bookstores, Chiles complained, are “overrun with novels that . . . appeal exclusively to our most prurient
                                natures — as if these nasty books were pairing off back in the stockrooms like little paperback rabbits and churning out even more graphic offspring that make Ralph Ellison books cringe into a dusty corner.”"
26,1,0,0,1,1,0,0,0,0,"Du Bois, who studied at the University of Berlin with some of the most acclaimed scholars of his day and who was the first Black American to receive a doctorate from Harvard, believed that history should aspire to be something like a science. And if that was to be the case, “if the record of human action is going to be set down with that accuracy and faithfulness of detail which will allow its use as a measuring rod and guidepost for the future of nations,” then in his view, “there must be set some standards of ethics in research and interpretation.” Du Bois’s view was that, when it came to Reconstruction and the “American Negro,” American historians had fallen far short of that ideal. Instead, they produced — for the consumption of both students and the general public — a history that cast Reconstruction as a “disgraceful attempt to subject white people to ignorant Negro rule.” Rather than treat history as “a science or as an art using the results of science,” they had used it as a tool of “pleasure and amusement, for inflating our national ego, and giving us a false but pleasurable sense of accomplishment.” This history, wrote Du Bois, existed only to “influence and educate the new generation along the way we wish,” where “we” meant the existing power structure."
32,1,0,0,1,1,0,0,1,0,"The common denominator of these views of race is that each still sees black people as a ""problem people,"" in the words of Dorothy I. Height, president of the National Council of Negro Women, rather than as fellow American citizens with problems. Her words echo the poignant ""unasked question"" of W. E. B. Du Bois, who wrote: ""They approach me in a half-hesitant sort of way, eye me curiously or compassionately, and then instead of saying directly, How does it feel to be a problem? they say, I know an excellent colored man in my town. . . . Do not these Southern outrages make your blood boil? At these I smile, or am interested, or reduce the boiling to a simmer, as the occasion may require. To the real question, How does it feel to be a problem? I answer seldom a word."" Nearly a century later, we confine discussions about race in America to the ""problems"" black people pose for whites rather than considering what this way of viewing black people reveals about us as a nation."
33,1,0,0,0,0,0,1,0,1,"That is the desire to which the Rev. Dr. Martin Luther King Jr. appealed, and he is somebody every American can be proud of. It is just as appropriate for white Americans to take pride in Dr. King and in his (limited) success as for black Americans to take pride in Ralph Waldo Emerson and John Dewey and their (limited) successes. Cornel West wrote a book -- ""The American Evasion of Philosophy"" -- about the connections between Emerson, Dewey, W. E. B. Du Bois and his own preaching in African-American churches. The late Irving Howe, whose ""World of Our Fathers"" did much to make us aware that we are a nation of immigrants, also tried to persuade us (in ""The American Newness: Culture and Politics in the Age of Emerson"") to cherish a distinctively American, distinctively Emersonian, hope."
